NodeId,SocketId,TotalMemoryRequest(MiB),NumberOfThreads,AvgTime(S),SDTime,Bandwidth(MB/s),SDBandwidth,AvgEnergyUsage(J),SDEnergyUsage,AvgPowerUsage(W),SDPowerUsage,AccessFrequency(line/s),SDAccessFrequency
coop1,-,1584.000000,32,0.021462,0.000088,77438.660093,294.289520,10.927479,0.117931,480.930199,7.310086,1209979063.949006,4598273.745479
coop1,-,1584.000000,34,0.021535,0.000101,77143.718490,376.417045,10.954362,0.146909,478.236482,8.450765,1205370601.407126,5881516.321901
coop1,-,1584.000000,36,0.021574,0.000072,77055.433902,159.442469,10.928839,0.184804,475.273710,9.459917,1203991154.712065,2491288.580094
coop1,-,1584.000000,38,0.021690,0.000079,76657.926792,106.296060,11.020114,0.113108,479.135383,4.917740,1197780106.126014,1660875.944701
coop1,-,1584.000000,40,0.022887,0.003925,76732.107671,44.877331,11.487993,1.670209,476.395080,11.160898,1198939182.363076,701208.291643
coop1,-,1584.000000,42,0.021684,0.000036,76617.733094,113.612615,11.050326,0.092599,480.448972,4.026057,1197152079.588160,1775197.103507
coop1,-,1584.000000,44,0.022342,0.000056,74286.642526,71.847884,11.309709,0.115188,471.237875,4.799521,1160728789.469007,1122623.191258
coop1,-,1584.000000,46,0.021717,0.000021,76472.966456,69.078006,10.995583,0.076635,480.172754,9.660497,1194890100.875741,1079343.844812
coop1,-,1584.000000,48,0.021940,0.000074,75641.018152,162.115153,11.146628,0.143752,480.944257,8.942040,1181890908.626822,2533049.264595
coop1,-,1584.000000,50,0.021157,0.000849,79466.250372,1170.415869,10.852683,0.355895,483.463949,5.621108,1241660162.064195,18287747.955388
coop1,-,1584.000000,52,0.020284,0.001215,82097.867142,4412.232890,10.654413,0.555726,490.808999,9.806058,1282779174.090431,68941138.911866
coop1,-,1584.000000,54,0.019744,0.000281,84502.668744,174.001204,10.422185,0.215298,490.077319,6.818818,1320354199.128918,2718768.813841
coop1,-,1584.000000,56,0.019113,0.000091,86896.453541,433.826934,10.149763,0.134250,498.677405,12.466619,1357757086.585133,6778545.842124
coop1,-,1584.000000,58,0.017842,0.000042,93142.070235,150.592153,9.611694,0.115373,501.309444,12.675173,1455344847.425503,2353002.389556
coop1,-,1584.000000,60,0.017520,0.000245,95222.962460,90.249640,9.520009,0.196371,503.953385,12.985448,1487858788.433527,1410150.618389
coop1,-,1584.000000,62,0.024321,0.008905,77256.149169,28043.359184,12.953458,3.729436,491.766762,31.077239,1207127330.764301,438177487.255794
coop1,-,1584.000000,64,0.018818,0.008286,104905.407496,19319.026971,10.207886,3.493837,516.486854,28.724081,1639146992.119453,301859796.425276
coop1,-,1584.000000,66,0.016253,0.000047,102103.151143,61.627435,8.968500,0.089968,503.564861,11.814825,1595361736.614750,962928.672290
coop1,-,1584.000000,68,0.016234,0.000091,102482.330203,204.971396,8.940003,0.203668,507.301911,14.006446,1601286409.414787,3202678.062114
coop1,-,1584.000000,70,0.015575,0.000109,106876.144498,144.474388,8.687345,0.172777,514.020552,11.003959,1669939757.788073,2257412.304817
coop1,-,1584.000000,72,0.016879,0.006651,112667.103216,6286.791879,9.357439,2.778078,519.050744,23.113879,1760423487.742390,98231123.113986
